Date,ACWI,AGG,EWW,IPCLARGECAP.MX,IVV,QQQ,SHY,SPY,TIP
2019-10-04,66.12955474853516,97.97293853759766,37.80072784423828,,271.2465209960937,182.445068359375,76.03824615478516,270.7494812011719,97.36241149902344
2019-10-07,65.86698150634766,97.70612335205078,37.24635314941406,,270.02783203125,181.89427185058597,75.9577407836914,269.5813293457031,97.09625244140624
2019-10-08,64.997802734375,97.74054718017578,36.80460739135742,,265.8494567871094,179.16932678222656,76.00245666503906,265.39605712890625,97.00473022460938
2019-10-09,65.55915069580078,97.68889617919922,36.91720199584961,,268.36932373046875,180.91835021972656,75.9577407836914,267.91632080078125,96.8050765991211
2019-10-10,66.07523345947266,97.35318756103516,37.67079544067383,,270.26611328125,182.3194274902344,75.86833953857422,269.7284545898437,96.49732971191406
2019-10-11,66.97154998779297,97.03472900390624,38.216495513916016,,272.9601135253906,184.66749572753903,75.79682159423828,272.5247497558594,96.1978759765625
2019-10-14,66.79047393798828,97.1982421875,38.259803771972656,,272.7767333984375,184.648193359375,75.80574035644531,272.2212219238281,96.3559112548828
2019-10-15,67.46046447753906,96.87975311279295,38.3204345703125,,275.4616394042969,186.9962615966797,75.78787994384766,274.9162292480469,96.03152465820312
2019-10-16,67.47857666015625,97.05192565917967,38.60628890991211,,274.95758056640625,186.53240966796875,75.82363891601562,274.4747619628906,96.1812515258789
2019-10-17,67.64154815673828,97.02609252929688,38.49367904663086,,275.72735595703125,187.0252227783203,75.82363891601562,275.2842102050781,96.31431579589844
2019-10-18,67.41519165039062,97.094970703125,38.39839553833008,,274.5269470214844,185.2279510498047,75.85044860839844,274.0791931152344,96.4640655517578
2019-10-21,67.90410614013672,96.82810974121094,38.805511474609375,,276.4969177246094,186.87063598632807,75.81470489501953,275.9372863769531,96.1562957763672
2019-10-22,67.68682098388672,96.97447967529295,38.6928939819336,,275.5348815917969,185.382568359375,75.8415298461914,275.03582763671875,96.44739532470705
2019-10-23,67.93126678466797,97.05192565917967,38.78818130493164,,276.33203125,185.7400665283203,75.83256530761719,275.8360595703125,96.51397705078124
2019-10-24,68.0851821899414,97.07772827148438,38.805511474609375,,276.8268737792969,187.54705810546875,75.83256530761719,276.28680419921875,96.5721664428711
2019-10-25,68.27531433105469,96.94002532958984,38.7708625793457,,277.9264221191406,189.04476928710935,75.78787994384766,277.4181823730469,96.58882904052734
2019-10-28,68.68274688720703,96.7334213256836,39.09135818481445,,279.4842529296875,190.90972900390625,75.76102447509766,278.9818725585937,96.1230239868164
2019-10-29,68.60125732421875,96.7420425415039,38.952762603759766,,279.3925170898437,189.4312744140625,75.7789306640625,278.89910888671875,95.88179779052734
2019-10-30,68.76422882080078,97.0174560546875,38.87480926513672,,280.2722473144531,190.34927368164065,75.82363891601562,279.7544860839844,96.23947143554688
2019-10-31,68.60125732421875,97.39622497558594,38.38107681274414,,279.44757080078125,190.43626403808597,75.9577407836914,279.0093688964844,96.53890991210938
2019-11-01,69.29840850830078,97.42298126220705,39.10001373291016,,282.1781921386719,192.16587829589844,75.91297912597656,281.5941162109375,96.68035888671876
2019-11-04,69.59716796875,97.18144989013672,39.004730224609375,,283.2410583496094,193.3544464111328,75.85922241210938,282.7255859375,96.61377716064452
2019-11-05,69.61528778076172,96.819091796875,38.62360382080078,,282.9020080566406,193.4607391357422,75.80550384521484,282.4128112792969,96.43077087402344
2019-11-06,69.57907104492188,96.96575164794922,39.05670547485352,,283.03033447265625,193.0259246826172,75.85025787353516,282.4771728515625,96.73858642578124
2019-11-07,69.86878967285156,96.508544921875,39.368534088134766,,284.0382995605469,193.67333984375,75.76071166992188,283.4706115722656,96.1977996826172
